tp,sl,window,dd,lb,n,pos,rate,recent_n,recent_rate,recent_rate_minus_be,barrier_be_precision,base_rate_minus_be,retain_n,retain_rate,convert_n,convert_rate,old1_to_0,tp_exit,hard_exit,trail_exit,timeout_exit,trail_future_tp_n,trail_future_tp_rate,stop_future_tp_n,conflict_n,pos_med_exit_min,pos_med_mae,pos_p25_mae,stop_med_mfe,proxy_mean_ret,proxy_median_ret,recent_proxy_mean_ret
1.6,0.9,60,,,1177,217,0.18436703483432457,295,0.13898305084745763,-0.0038740920096851927,0.14285714285714282,0.041509891977181745,217,1.0,0,0.0,0,217,884,0,76,0,0.0,117,5,2.6333333333333333,0.036213566684760945,-0.020831722805222164,0.016546971999971904,0.0391975100107193,-0.09999999999999998,0.00674207806921034
1.6,0.9,60,0.2,5,1177,174,0.14783347493627869,295,0.09830508474576272,-0.044552058111380105,0.14285714285714282,0.0049763320791358645,174,0.8018433179723502,0,0.0,43,174,791,150,62,55,0.36666666666666664,159,11,1.9416666666666667,0.08205157345759773,-0.008807935497373465,0.03193171907575998,0.037182207887382974,-0.09999999999999998,0.004213182582145591
1.6,0.9,60,0.2,10,1177,171,0.14528462192013594,295,0.09830508474576272,-0.044552058111380105,0.14285714285714282,0.002427479062993121,171,0.7880184331797235,0,0.0,46,171,786,160,60,58,0.3625,162,11,1.9333333333333333,0.08381322282027859,-0.006742159940485326,0.03355456560762127,0.03675537545076612,-0.09999999999999998,0.005122994859187173
1.6,0.9,60,0.2,15,1177,170,0.14443500424808836,295,0.09830508474576272,-0.044552058111380105,0.14285714285714282,0.0015778613909455397,170,0.783410138248848,0,0.0,47,170,786,164,57,59,0.3597560975609756,163,11,1.9333333333333333,0.0876454204750956,-0.006000604004839261,0.03441602579130165,0.0365027383118671,-0.09999999999999998,0.005059564745990277
1.6,0.9,60,0.25,5,1177,195,0.16567544604927784,295,0.11186440677966102,-0.030992736077481806,0.14285714285714282,0.022818303192135014,195,0.8986175115207373,0,0.0,22,195,820,91,71,32,0.3516483516483517,138,8,2.2,0.05722699896138872,-0.02039861788410946,0.021310204569872093,0.038703887710007205,-0.09999999999999998,0.003269348202625743
1.6,0.9,60,0.25,10,1177,195,0.16567544604927784,295,0.11186440677966102,-0.030992736077481806,0.14285714285714282,0.022818303192135014,195,0.8986175115207373,0,0.0,22,195,818,96,68,32,0.3333333333333333,138,8,2.2,0.05722699896138872,-0.02039861788410946,0.022078260289199014,0.03918897474082938,-0.09999999999999998,0.0035444184930909263
1.6,0.9,60,0.25,15,1177,194,0.16482582837723025,295,0.10847457627118644,-0.034382566585956384,0.14285714285714282,0.021968685520087433,194,0.8940092165898618,0,0.0,23,194,816,101,66,33,0.32673267326732675,139,8,2.2,0.06027450986533489,-0.02039861788410946,0.02303071113156885,0.03910964468747771,-0.09999999999999998,0.0023234335878769764
1.6,0.9,60,0.3,5,1177,208,0.17672047578589634,295,0.1288135593220339,-0.014043583535108928,0.14285714285714282,0.033863332928753515,208,0.9585253456221198,0,0.0,9,208,846,48,75,17,0.3541666666666667,126,7,2.4833333333333334,0.04754715616212857,-0.0204832648036678,0.01858684057216975,0.038836319553213434,-0.09999999999999998,0.006148763415456004
1.6,0.9,60,0.3,10,1177,208,0.17672047578589634,295,0.1288135593220339,-0.014043583535108928,0.14285714285714282,0.033863332928753515,208,0.9585253456221198,0,0.0,9,208,842,54,73,17,0.3148148148148148,126,7,2.4833333333333334,0.04754715616212857,-0.0204832648036678,0.01897361112835061,0.039119371778388146,-0.09999999999999998,0.006326990696976366
1.6,0.9,60,0.3,15,1177,207,0.17587085811384875,295,0.12542372881355932,-0.017433414043583506,0.14285714285714282,0.03301371525670593,207,0.9539170506912442,0,0.0,10,207,842,56,72,18,0.32142857142857145,127,7,2.466666666666667,0.04803910974026504,-0.0204832648036678,0.019440460587037633,0.03872616510739408,-0.09999999999999998,0.004758162724908536
1.6,0.9,90,,,1177,225,0.1911639762107052,295,0.14915254237288136,0.006295399515738542,0.14285714285714282,0.04830683335356237,217,1.0,8,0.008333333333333333,0,225,901,0,51,0,0.0,131,5,2.9166666666666665,0.027107456991594336,-0.027010945670487674,0.01860440181342171,0.0408453186569648,-0.09999999999999998,0.0122031077474754
1.6,0.9,90,0.2,5,1177,179,0.15208156329651656,295,0.1016949152542373,-0.04116222760290553,0.14285714285714282,0.009224420439373743,174,0.8018433179723502,5,0.005208333333333333,43,179,804,153,41,59,0.38562091503267976,176,11,1.9833333333333334,0.06897152085668634,-0.015672475675564068,0.033775545694445075,0.03789624534601205,-0.09999999999999998,0.006712617683546082
1.6,0.9,90,0.2,10,1177,176,0.14953271028037382,295,0.1016949152542373,-0.04116222760290553,0.14285714285714282,0.006675567423230999,171,0.7880184331797235,5,0.005208333333333333,46,176,797,165,39,62,0.37575757575757573,179,11,1.9583333333333333,0.08046267696206455,-0.014626578483894148,0.03479618204015833,0.037577286651157414,-0.09999999999999998,0.007314173049100317
1.6,0.9,90,0.2,15,1177,175,0.14868309260832624,295,0.1016949152542373,-0.04116222760290553,0.14285714285714282,0.005825949751183418,170,0.783410138248848,5,0.005208333333333333,47,175,795,169,38,63,0.3727810650887574,180,11,1.95,0.08154637981915491,-0.008807935497373465,0.03506894782204795,0.03745373547739733,-0.09999999999999998,0.007695912686966797
1.6,0.9,90,0.25,5,1177,203,0.17247238742565846,295,0.12203389830508475,-0.02082324455205807,0.14285714285714282,0.029615244568515636,195,0.8986175115207373,8,0.008333333333333333,22,203,835,93,46,32,0.34408602150537637,152,8,2.35,0.04493163182078641,-0.025230774730022887,0.025164594888425706,0.04048315647352261,-0.09999999999999998,0.00896534351621309
1.6,0.9,90,0.25,10,1177,202,0.17162276975361088,295,0.11864406779661017,-0.02421307506053265,0.14285714285714282,0.028765626896468055,195,0.8986175115207373,7,0.007291666666666667,22,202,833,97,45,33,0.3402061855670103,153,8,2.325,0.046485370780525725,-0.024578208743865848,0.02569721789161683,0.04056490257523191,-0.09999999999999998,0.007903879661492964
1.6,0.9,90,0.25,15,1177,201,0.1707731520815633,295,0.1152542372881356,-0.027602905569007227,0.14285714285714282,0.027916009224420474,194,0.8940092165898618,7,0.007291666666666667,23,201,829,104,43,34,0.3269230769230769,154,8,2.3,0.04493163182078641,-0.024578208743865848,0.0261566801879467,0.0404681501917988,-0.09999999999999998,0.0059252611066292794
1.6,0.9,90,0.3,5,1177,216,0.18351741716227699,295,0.13898305084745763,-0.0038740920096851927,0.14285714285714282,0.040660274305134164,208,0.9585253456221198,8,0.008333333333333333,9,216,862,49,50,17,0.3469387755102041,140,7,2.7333333333333334,0.034739877484324055,-0.025230774730022887,0.020754220540527335,0.04063474606161905,-0.09999999999999998,0.011609793093721062
1.6,0.9,90,0.3,10,1177,215,0.1826677994902294,295,0.13559322033898305,-0.007263922518159771,0.14285714285714282,0.03981065663308658,208,0.9585253456221198,7,0.007291666666666667,9,215,858,55,49,18,0.32727272727272727,141,7,2.716666666666667,0.036213566684760945,-0.024578208743865848,0.020762624327182122,0.040349543931440364,-0.09999999999999998,0.010344598842109904
1.6,0.9,90,0.3,15,1177,214,0.18181818181818182,295,0.13220338983050847,-0.01065375302663435,0.14285714285714282,0.038961038961039,207,0.9539170506912442,7,0.007291666666666667,10,214,857,57,49,19,0.3333333333333333,142,7,2.675,0.03911496146371263,-0.024578208743865848,0.020907954602349732,0.040042018349540784,-0.09999999999999998,0.009117623893310573
1.6,0.9,120,,,1177,228,0.1937128292268479,295,0.15254237288135594,0.00968523002421312,0.14285714285714282,0.05085568636970508,217,1.0,11,0.011458333333333333,0,228,911,0,38,0,0.0,140,5,3.0666666666666664,0.023709261119362224,-0.030531441382316782,0.01953810073079576,0.040702269507261336,-0.09999999999999998,0.01062560929277144
1.6,0.9,120,0.2,5,1177,181,0.15378079864061173,295,0.1016949152542373,-0.04116222760290553,0.14285714285714282,0.010923655783468905,174,0.8018433179723502,7,0.007291666666666667,43,181,812,154,30,63,0.4090909090909091,187,11,2.0,0.06826801090245382,-0.015672475675564068,0.03441602579130165,0.037566354695121845,-0.09999999999999998,0.004070928284804562
